Date,Time,Min.Delay
2022-01-01,00:38:34,18
2022-01-02,22:10:30,21
2022-01-03,04:40:45,14
2022-01-04,12:57:33,8
2022-01-05,21:00:33,21
2022-01-06,22:06:22,21
2022-01-07,21:28:23,2
2022-01-08,10:37:25,20
2022-01-09,21:01:19,17
2022-01-10,01:46:31,18
2022-01-11,11:15:44,12
2022-01-12,19:48:06,9
2022-01-13,13:07:23,23
2022-01-14,20:21:20,15
2022-01-15,04:45:56,7
2022-01-16,23:57:08,21
2022-01-17,01:42:50,20
2022-01-18,15:46:58,13
2022-01-19,12:26:08,14
2022-01-20,02:09:57,28
2022-01-21,07:41:49,13
2022-01-22,13:59:15,16
2022-01-23,23:56:42,19
2022-01-24,23:28:52,16
2022-01-25,17:35:21,13
2022-01-26,18:37:12,19
2022-01-27,20:36:44,17
2022-01-28,21:55:02,5
2022-01-29,06:48:30,19
2022-01-30,21:37:16,17
2022-01-31,21:11:04,20
2022-02-01,20:38:11,15
2022-02-02,23:16:46,21
2022-02-03,23:50:30,19
2022-02-04,18:28:06,14
2022-02-05,16:30:22,19
2022-02-06,22:38:56,19
2022-02-07,01:50:27,4
2022-02-08,00:54:06,8
2022-02-09,23:01:17,9
2022-02-10,14:53:41,11
2022-02-11,06:40:59,20
2022-02-12,08:21:12,21
2022-02-13,15:52:16,13
2022-02-14,22:02:25,15
2022-02-15,19:10:33,11
2022-02-16,17:03:53,14
2022-02-17,16:49:47,12
2022-02-18,11:33:29,15
2022-02-19,10:29:04,16
2022-02-20,16:22:18,18
2022-02-21,17:43:29,11
2022-02-22,13:56:30,15
2022-02-23,07:17:02,19
2022-02-24,08:45:50,11
2022-02-25,14:08:09,10
2022-02-26,19:25:40,23
2022-02-27,17:28:06,24
2022-02-28,04:55:12,8
2022-03-01,02:10:55,11
2022-03-02,05:28:30,20
2022-03-03,06:14:52,11
2022-03-04,12:15:44,16
2022-03-05,23:18:24,19
2022-03-06,14:26:40,22
2022-03-07,05:42:17,16
2022-03-08,22:17:42,23
2022-03-09,06:15:32,18
2022-03-10,03:29:46,11
2022-03-11,23:33:44,16
2022-03-12,01:20:40,17
2022-03-13,15:59:42,14
2022-03-14,20:35:52,22
2022-03-15,02:26:01,21
2022-03-16,09:56:28,17
2022-03-17,01:03:56,18
2022-03-18,14:18:03,10
2022-03-19,21:17:42,20
2022-03-20,18:21:47,12
2022-03-21,06:53:21,17
2022-03-22,07:39:48,15
2022-03-23,21:35:55,6
2022-03-24,04:15:05,5
2022-03-25,19:47:08,21
2022-03-26,21:20:47,20
2022-03-27,06:57:02,17
2022-03-28,02:11:21,18
2022-03-29,19:10:25,13
2022-03-30,07:59:58,17
2022-03-31,03:58:39,14
2022-04-01,15:11:38,10
2022-04-02,14:13:48,13
2022-04-03,16:35:25,14
2022-04-04,14:28:20,16
2022-04-05,07:04:53,19
2022-04-06,01:36:53,15
2022-04-07,22:09:12,15
2022-04-08,07:57:36,20
2022-04-09,00:04:46,28
2022-04-10,18:18:32,8
